label,name,broad_label,sub_label
1,AM General Hummer SUV 2000,5,1
2,Acura RL Sedan 2012,2,1
3,Acura TL Sedan 2012,2,2
4,Acura TL Type-S 2008,2,3
5,Acura TSX Sedan 2012,2,4
6,Acura Integra Type R 2001,2,5
7,Acura ZDX Hatchback 2012,2,6
8,Aston Martin V8 Vantage Convertible 2012,2,7
9,Aston Martin V8 Vantage Coupe 2012,2,8
10,Aston Martin Virage Convertible 2012,2,9
11,Aston Martin Virage Coupe 2012,2,10
12,Audi RS 4 Convertible 2008,3,1
13,Audi A5 Coupe 2012,3,2
14,Audi TTS Coupe 2012,3,3
15,Audi R8 Coupe 2012,3,4
16,Audi V8 Sedan 1994,3,5
17,Audi 100 Sedan 1994,3,6
18,Audi 100 Wagon 1994,3,7
19,Audi TT Hatchback 2011,3,8
20,Audi S6 Sedan 2011,3,9
21,Audi S5 Convertible 2012,3,10
22,Audi S5 Coupe 2012,3,11
23,Audi S4 Sedan 2012,3,12
24,Audi S4 Sedan 2007,3,13
25,Audi TT RS Coupe 2012,3,14
26,BMW ActiveHybrid 5 Sedan 2012,4,1
27,BMW 1 Series Convertible 2012,4,2
28,BMW 1 Series Coupe 2012,4,3
29,BMW 3 Series Sedan 2012,4,4
30,BMW 3 Series Wagon 2012,4,5
31,BMW 6 Series Convertible 2007,4,6
32,BMW X5 SUV 2007,4,7
33,BMW X6 SUV 2012,4,8
34,BMW M3 Coupe 2012,4,9
35,BMW M5 Sedan 2010,4,10
36,BMW M6 Convertible 2010,4,11
37,BMW X3 SUV 2012,4,12
38,BMW Z4 Convertible 2012,4,13
39,Bentley Continental Supersports Conv. Convertible 2012',5,2
40,Bentley Arnage Sedan 2009,5,3
41,Bentley Mulsanne Sedan 2011,5,4
42,Bentley Continental GT Coupe 2012,5,5
43,Bentley Continental GT Coupe 2007,5,6
44,Bentley Continental Flying Spur Sedan 2007,5,7
45,Bugatti Veyron 16.4 Convertible 2009,5,8
46,Bugatti Veyron 16.4 Coupe 2009,5,9
47,Buick Regal GS 2012,6,1
48,Buick Rainier SUV 2007,6,2
49,Buick Verano Sedan 2012,6,3
50,Buick Enclave SUV 2012,6,4
51,Cadillac CTS-V Sedan 2012,6,5
52,Cadillac SRX SUV 2012,6,6
53,Cadillac Escalade EXT Crew Cab 2007,6,7
54,Chevrolet Silverado 1500 Hybrid Crew Cab 2012,6,8
55,Chevrolet Corvette Convertible 2012,6,9
56,Chevrolet Corvette ZR1 2012,6,10
57,Chevrolet Corvette Ron Fellows Edition Z06 2007,6,11
58,Chevrolet Traverse SUV 2012,6,12
59,Chevrolet Camaro Convertible 2012,6,13
60,Chevrolet HHR SS 2010,6,14
61,Chevrolet Impala Sedan 2007,7,1
62,Chevrolet Tahoe Hybrid SUV 2012,7,2
63,Chevrolet Sonic Sedan 2012,7,3
64,Chevrolet Express Cargo Van 2007,7,4
65,Chevrolet Avalanche Crew Cab 2012,7,5
66,Chevrolet Cobalt SS 2010,7,6
67,Chevrolet Malibu Hybrid Sedan 2010,7,7
68,Chevrolet TrailBlazer SS 2009,7,8
69,Chevrolet Silverado 2500HD Regular Cab 2012,7,9
